num,API,Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Disintegrant,Dose (mg),Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Diluent,Dose (mg),Diluent,Dose (mg),Binder,Dose (mg),Binder,Dose (mg),Glidant,Dose (mg),Glidant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),pH_modifier,Dose (mg),pH_modifier,Dose (mg),Solubilizer,Dose (mg),Sweeting_agent,Dose (mg),Sweeting_agent,Dose (mg),Viscosity_increasing,Dose (mg),Preservative,Dose (mg),Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),HARDNESS,"HARDNESS      (kg/cm2 , kp , kgF)   (SD)",FRIABILITY(%) (mean),FRIABILITY(%) (SD),THICKNESS (mm) (mean),THICKNESS (mm) (SD),Wetting time (s) (mean),Wetting time (s) (SD),Drug content (%) (mean),Drug content (%) (SD),Water absorption ratio (%) (Mean),Water absorption ratio (%) (SD),Mixing Time(min) (Mean),Mixing Time(min) (SD),DIAMETER(mm) (Mean),DIAMETER(mm) (SD),Tablet porosity (%) (Mean),Tablet porosity (%) (SD),Assay (%) (Mean),Assay (%) (SD),Moisture content (%) (Mean),Moisture content (%) (SD),Dispersion Time (s) (Mean),Dispersion Time (s) (SD),Cumulative Drug Release(%) (Mean),Cumulative Drug Release(%) (SD),DISINTEGRATION_TIME
343,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,134,1,3,0,0,0,0,0,0,0,0,1,20,0,0,7,4,0,0,0,0,200,0.7,0.9,17.6,1.2,23.1,3.4,0,0.5,0,2.9,0,57,2.1,0,0,1.8,0.2,0,0,0,0,0,0,0,0,0,0,35,1.2,0,0,41
346,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,130,1,3,0,0,0,0,0,0,0,0,1,20,0,0,7,4,0,0,0,0,200,0.7,0.9,16.9,1.2,25.7,3.5,0,0.6,0,2.9,0,56,1.7,0,0,1.8,0.2,0,0,0,0,0,0,0,0,0,0,36,1.2,0,0,42
345,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,130,1,3,0,0,0,0,0,0,0,0,1,20,0,0,7,4,0,0,0,0,200,0.7,0.9,15.5,1.2,26.3,3.4,0,0.5,0,2.7,0,43,1.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,29,0.6,0,0,31
510,97,295.8,3,3,3,6,41.5,20,257,-3.2,40,0,0,8,12,0,0,0,0,1,117,0,0,0,0,0,0,1,6,0,0,1,6,0,0,8,4,0,0,0,0,0,0,1,10,0,0,0,0,0,0,200,0.5,0.6,15.2,1.2,28.2,2.9,0.2,0.8,0,3.4,0.8,59.7,1.1,0,0,3.4,0,0,0,0,0,0,0,95.3,0.1,0,0,0,0,0,0,121.2
68,25,300.7,2.1,0,2,1,40.6,21,423,-3.9,5,0,0,0,0,0,0,4,146,0,0,2,40,0,0,0,0,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,200,0,0,0,0,0,2.5,0,0.4,0.1,4.7,0,27,1,97.3,0.2,3.9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
511,97,295.8,3,3,3,6,41.5,20,257,-3.2,40,0,0,8,16,0,0,0,0,1,113,0,0,0,0,0,0,1,6,0,0,1,6,0,0,8,4,0,0,0,0,0,0,1,10,0,0,0,0,0,0,200,0.5,0.6,15.1,1.2,29.6,2.7,0.2,0.8,0,3.5,0.5,56.3,0.9,0,0,4.9,1,0,0,0,0,0,0,95.3,0.4,0,0,0,0,0,0,117.2
512,97,295.8,3,3,3,6,41.5,20,257,-3.2,40,0,0,8,20,0,0,0,0,1,109,0,0,0,0,0,0,1,6,0,0,1,6,0,0,8,4,0,0,0,0,0,0,1,10,0,0,0,0,0,0,200,0.5,0.7,21.7,1.3,30.1,2.8,0.2,0.4,0,3.5,0.5,56.1,2.2,0,0,5.9,1.4,0,0,0,0,0,0,94.7,1.1,0,0,0,0,0,0,113.1
504,97,295.8,3,3,3,6,41.5,20,257,-3.2,40,0,0,0,0,0,0,4,12,1,117,0,0,0,0,0,0,1,6,0,0,1,6,0,0,8,4,0,0,0,0,0,0,1,10,0,0,0,0,0,0,200,0.5,0.7,23.7,1.3,31.1,2.8,0.2,0.7,0,3.5,0.2,50,0,0,0,6.2,0.6,0,0,0,0,0,0,94.2,1,0,0,0,0,0,0,98
507,97,295.8,3,3,3,6,41.5,20,257,-3.2,40,0,0,0,0,2,12,0,0,1,117,0,0,0,0,0,0,1,6,0,0,1,6,0,0,8,4,0,0,0,0,0,0,1,10,0,0,0,0,0,0,200,0.5,0.6,15.8,1.2,29.5,2.9,0.1,0.5,0,3.4,1,58.7,1.1,0,0,6.5,1.1,0,0,0,0,0,0,94.2,0.4,0,0,0,0,0,0,117.2
57,1,354.2,4.3,2,5,7,75.6,23,411,-4.8,250,0,0,0,0,0,0,4,10,1,25,2,99,0,0,0,0,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,400,0,0,0,0,0,3.4,0,0.8,0,6.1,0.1,35,2,99.1,0,7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
