MolecularWeight,XLogP3-AA,HydrogenBondDonorCount,HydrogenBondAcceptorCount,Rotationalbondcount,TopologicalSurfaceArea,HeavyAtomCount,Complexity,LogS,DOSE1,Disintegrant,Dose2,Disintegrant1,Dose3,Super_Disintegrant,Dose4,Super_Disintegrant1,Dose5,Diluent,Dose6,Diluent1,Dose7,Binder,Dose8,Binder1,Dose9,Glidant,Dose10,Glidant1,Dose11,Lubricant,Dose12,Lubricant1,Dose13,Lubricant2,Dose14,pH_modifier,Dose15,pH_modifier1,Dose16,Solubilizer,Dose17,Sweeting_agent,Dose18,Sweeting_agent1,Dose19,Viscosity_increasing,Dose20,Preservative,Dose21,Weight,BulkDensity,TappedDensity,CarrsCompressibilityIndex,HausnerRatio,AngleofRepose,DISINTEGRATION_TIME
0.619567691,0.407407407,0.625,0.736842105,0.571428571,0.820478723,0.637931034,0.922779923,0.577319588,0.279847756,0.75,0.326975477,0,0,0,0,1,0.293835616,1,0.189965904,0,0,1,1,0,0,1,0.2,0,0,1,0.266666667,0.5,1,0,0,0,0,0,0,0,0,0.333333333,1,0,0,0,0,0,0,0.655172414,0.352941176,0.000833333,0.305617978,0.048,0.619834711,0.333333333
0.246530148,0.351851852,0.375,0.210526316,0.095238095,0.381648936,0.224137931,0.434362934,0.649484536,0.048477564,0,0,0,0,0,0,1,0.106164384,0,0,0.666666667,0.267991948,0,0,0,0,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137931034,0,0,0.471910112,0.052,0.561983471,0.157222222
0.133333333,0.296296296,0.5,0.157894737,0.238095238,0.231050532,0.137931034,0.109073359,0.845360825,0.006410256,1,0.136239782,0,0,0,0,0,0,1,0.255723332,0.666666667,0.125817816,0,0,0,0,1,0.133333333,0,0,1,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.153846154,0,0,0,0,0.195402299,0.352941176,0.000833333,0.13258427,0.044,0.245867769,0.175555556
0.198748578,0.481481481,0.25,0.052631579,0.333333333,0.096742021,0.189655172,0.166988417,0.762886598,0.006410256,0,0,0,0,1,0.033333333,1,0.02739726,1,0.202143205,0,0,0,0,0,0,1,0.066666667,0,0,1,0.066666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0.071428571,0,0,0,0,0,0,0.08045977,0.117647059,0.000357143,0.346067416,0.048,0.603305785,0.177777778
0.116154721,0.194444444,0.25,0.157894737,0.095238095,0.251662234,0.120689655,0.264478764,0.948453608,0.078525641,0,0,0,0,0,0,1,0.034246575,0,0,0.666666667,0.119526925,0,0,0,0,1,0.066666667,0,0,1,0.016666667,0.5,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08045977,0,0,0,0,0,0.261111111
0.232878271,0.555555556,0.125,0.105263158,0.047619048,0.092087766,0.24137931,0.32046332,0.546391753,0.198717949,0,0,1,0.141843972,0,0,0,0,1,0.389673648,0.666666667,0.100654253,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.04,0,0,0,0,0,0,0.333333333,0.142857143,0.857142857,1,0,0,0,0,0.425287356,0,0,0,0,0,0.2
0.555858931,0.916666667,0.125,0.473684211,0.619047619,0.464760638,0.620689655,0.818532819,0,0.030448718,0,0,1,0.070921986,0,0,0,0,1,0.121773015,0.666666667,0.759939607,0,0,0,0,0,0,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0.178571429,0,0,0,0,0,0,0.425287356,0.176470588,0.00047619,0.296629213,0.048,0.524793388,0.213888889
0.202161547,0.490740741,0.25,0.105263158,0.19047619,0.098071809,0.189655172,0.162162162,0.773195876,0.098557692,0,0,0,0,0,0,1,0.068493151,1,0.198002923,0,0,0,0,0,0,0,0,0,0,1,0.033333333,0.5,0.055555556,1,0.05,0,0,0,0,0,0,1,0.053571429,0,0,0,0,0,0,0.137931034,0.294117647,0.000714286,0.348314607,0.044,0.537190083,0.072222222
0.108304892,0.296296296,0.25,0.157894737,0.142857143,0.184175532,0.086206897,0.125482625,0.917525773,0.048477564,0,0,0,0,0,0,1,0.068493151,1,0.284948855,0.666666667,0.100654253,0,0,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.071428571,0,0,0,0,0,0,0.195402299,0.235294118,0.000595238,0.449438202,0.052,0.613636364,0.211111111
0.139021615,0.657407407,0.125,0.105263158,0.142857143,0.113364362,0.155172414,0.166023166,0.639175258,0.098557692,0,0,0,0,1,0.088888889,0,0,1,0.060886508,0.666666667,0.183694011,0,0,0,0,1,0.066666667,0,0,1,0.033333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0.035714286,0,0,0,0,0,0,0.149425287,0.176470588,0.00047619,0.451685393,0,0.601239669,0.241666667
0.485210466,0.398148148,1,0.473684211,0.380952381,0.797207447,0.482758621,0.147683398,0.845360825,0.008413462,0,0,1,0.021276596,0,0,0,0,1,0.024354603,0.666666667,0.185707096,0,0,0,0,1,0.066666667,0,0,1,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003846154,0,0,0,0,0.08045977,0,0,0,0,0,0.333333333
