Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Microcrystalline Cellulose (Avicel),Mannitol,Magnesium Stearate,Talc,Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),Sodium croscarmellose,Aspartame,Hydroxypropyl Cellulose (HPC),Gum,Chitosan,Sodium saccharin,Sodium lauryl sulfate(SLS),Sodium stearyl fumarate ,Polyvinylpyrrolidone (Crospovidone),Sodium starch glycolate,polyvinyl acetate,Lactose,Colloidal silicon dioxide (Aerosil),Citric acid,Menthol,B-cyclodextrin,Stevia leaf Powder ,Clove oil ,Starch,sodium bicarbonate (NaHCO3),Plantago ovata,Pharmaburst,parteck,Polyethylene Glycol,Eudragit EPO,Precirol,acesulfame potassium,Polacrilin Potassium,Acryflow-L,Indion,Lubritose,Sucralose,Silicon dioxide,Neotame,Sucrose,Ocimum sanctum seed powder,Agar,Calcium carbonate,Sodium Saccharine ,Prosolv ODT,Cellactose,Quinoline yellow lake,Aerosol,Sodium behenate,dibasic calcium phosphate,Mucilage powder,GNSP,Ludipress,Kaolin,Methyl paraben,Camphor,CPE,DISINTEGRATION_TIME
0.222787898,0.600371747,0.125,0.052631579,0.045454545,0.030917553,0.162162162,0.247104247,0.64516129,0.028542814,0,0,0,0,0.313501144,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0.221403821,0.55204461,0.375,0.315789474,0.409090909,0.361702128,0.175675676,0.224903475,0.715920916,0.298948423,0.359838953,0,0.066666667,0.033333333,0.313501144,0.307228916,0.00077381,0.483146067,0.050877334,0.537174721,0,0,0,0,0,0.25,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0.221403821,0.55204461,0.375,0.315789474,0.409090909,0.361702128,0.175675676,0.224903475,0.715920916,0.298948423,0.358580775,0,0.066666667,0.033333333,0.313501144,0.271084337,0.000702381,0.533033708,0.052479769,0.499793474,0.022222222,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0.136713835,0.511152416,0.125,0.105263158,0.181818182,0.098071809,0.135135135,0.162162162,0.777315297,0.098647972,0.100654253,0,0.133333333,0.166666667,0.14187643,0.307228916,0.00072619,0.441123596,0.049274898,0.681949608,0,0,0,0,0,0.6,0,0,0,0,0,0.120027435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,9
0.159933409,0.473977695,0.25,0.105263158,0.227272727,0.18018617,0.162162162,0.251930502,0.82830385,0.008512769,0.092476095,0.243575691,0.05,0,0.14187643,0.15060241,0.000333333,0.243595506,0.044467591,0.627839736,0,0.026785714,0,0,0,0,0,0,0.04109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3
0.194816005,0.408921933,0.25,0.157894737,0.136363636,0.278257979,0.175675676,0.36969112,0.618106139,0.158738107,0.149723201,0,0.05,0,0.14187643,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.015410959,0.0225,0,0,0.083333333,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3
0.328481,0.855018587,0.125,0.157894737,0.318181818,0.107712766,0.337837838,0.5,0.296566077,0.000500751,0.057876195,0.382413835,0,0.133333333,0.199084668,0.28313253,0.000702381,0.45705618,0.05027642,0.524783147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36
0.328481,0.855018587,0.125,0.157894737,0.318181818,0.107712766,0.337837838,0.5,0.296566077,0.000500751,0.042778057,0.404335647,0,0.133333333,0.199084668,0.28313253,0.000678571,0.394247191,0.048593863,0.510119785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4
0.470469812,1,0.125,0.210526316,0.545454545,0.317154255,0.445945946,0.756756757,0.108220604,0.00891337,0.045294414,0.204944587,0.02,0,0.107551487,0,0,0,0,0,0.1,0.012857143,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
0.194816005,0.408921933,0.25,0.157894737,0.136363636,0.278257979,0.175675676,0.36969112,0.618106139,0.158738107,0.149723201,0,0.05,0,0.14187643,0,0,0,0,0,0.0125,0,0,0,0,0.15,0,0,0.023116438,0,0,0,0.083333333,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
